candidate_rid: 16285 | name: Committee to Elect Scott Grayson | slug: committee-to-elect-scott-grayson | type: Candidate Committee | date: 10-25-2006 | amount: 250.0
candidate_rid: 16285 | name: 44th Senate District DFL NEW | slug: 44th-senate-district-dfl-new | type: Political Party | date: 09-18-2012 | amount: 500.0
candidate_rid: 16285 | name: 44th Senate District DFL NEW | slug: 44th-senate-district-dfl-new | type: Political Party | date: 10-18-2012 | amount: 750.0
candidate_rid: 18075 | name: Fremling, Wade K House Dist.  3B Committee | slug: fremling-wade-k-house-dist-3b-committee | type: Candidate Committee | date: 08-23-2016 | amount: 1071.16
candidate_rid: 17056 | name: 44th Senate District DFL NEW | slug: 44th-senate-district-dfl-new | type: Political Party | date: 08-22-2012 | amount: 250.0
candidate_rid: 17056 | name: 44th Senate District DFL NEW | slug: 44th-senate-district-dfl-new | type: Political Party | date: 09-14-2012 | amount: 500.0
candidate_rid: 17056 | name: 44th Senate District DFL NEW | slug: 44th-senate-district-dfl-new | type: Political Party | date: 10-13-2012 | amount: 750.0
candidate_rid: 18090 | name: Jensen, Emily  House Dist. 13A Committee | slug: jensen-emily-house-dist-13a-committee | type: Candidate Committee | date: 07-21-2016 | amount: 500.0
candidate_rid: 17527 | name: 55th Senate District DFL NEW | slug: 55th-senate-district-dfl-new | type: Political Party | date: 07-20-2012 | amount: 500.0
candidate_rid: 17527 | name: 55th Senate District DFL NEW | slug: 55th-senate-district-dfl-new | type: Political Party | date: 10-18-2012 | amount: 200.0
candidate_rid: 17527 | name: 55th Senate District DFL NEW | slug: 55th-senate-district-dfl-new | type: Political Party | date: 07-20-2012 | amount: 500.0
candidate_rid: 17527 | name: 55th Senate District DFL NEW | slug: 55th-senate-district-dfl-new | type: Political Party | date: 10-18-2012 | amount: 200.0
candidate_rid: 18032 | name: Bonoff, Terri  Senate Dist. 44 Committee | slug: bonoff-terri-senate-dist-44-committee | type: Candidate Committee | date: 07-12-2016 | amount: 500.0
candidate_rid: 18032 | name: Britton, Audrey  House Dist. 44A Committee | slug: britton-audrey-house-dist-44a-committee | type: Candidate Committee | date: 05-21-2016 | amount: 250.0
candidate_rid: 18032 | name: Selcer, Yvonne M House Dist. 48A Committee | slug: selcer-yvonne-m-house-dist-48a-committee | type: Candidate Committee | date: 06-01-2016 | amount: 2500.0
candidate_rid: 18032 | name: Sieben, Katie  Senate Dist. 54 Committee | slug: sieben-katie-senate-dist-54-committee | type: Candidate Committee | date: 07-30-2016 | amount: 250.0
candidate_rid: 16246 | name: Britton, Audrey  House Dist. 44A Committee | slug: britton-audrey-house-dist-44a-committee | type: Candidate Committee | date: 03-01-2016 | amount: 300.0
candidate_rid: 16246 | name: Sieben, Katie  Senate Dist. 54 Committee | slug: sieben-katie-senate-dist-54-committee | type: Candidate Committee | date: 06-23-2016 | amount: 500.0
candidate_rid: 16246 | name: 51st Senate District DFL NEW | slug: 51st-senate-district-dfl-new | type: Political Party | date: 03-24-2012 | amount: 1000.0
candidate_rid: 16246 | name: 51st Senate District DFL NEW | slug: 51st-senate-district-dfl-new | type: Political Party | date: 08-20-2012 | amount: 1000.0
candidate_rid: 16246 | name: 52nd Senate District DFL NEW | slug: 52nd-senate-district-dfl-new | type: Political Party | date: 09-28-2012 | amount: 1134.0
candidate_rid: 16246 | name: 52nd Senate District DFL NEW | slug: 52nd-senate-district-dfl-new | type: Political Party | date: 11-03-2012 | amount: 940.0
candidate_rid: 18025 | name: Anderson, Mark T House Dist.  9A Committee | slug: anderson-mark-t-house-dist-9a-committee | type: Candidate Committee | date: 09-05-2016 | amount: 250.0
candidate_rid: 17021 | name: Tom Emmer for Governor | slug: tom-emmer-for-governor | type: Candidate Committee | date: 07-20-2012 | amount: 250.0
